#,Filename,File extension,Path,Size,Date created
80,"10 Symphony No 8 - Adagio, Feierlich langsam, doch nicht schleppend (excerpt).wma",.wma,\37257\,"7,280,616",28 Jun 2007 20:04
81,"11 Piano Sonata in E Flat, Op27 No 1 - Allegro Vivace.wma",.wma,\37257\,"8,631,718",28 Jun 2007 20:04
82,"12 Norma - Oh, rimembranza.wma",.wma,\37257\,"8,166,364",28 Jun 2007 20:04
83,"13 Waltz in E Flat, Op 18, Grande valse brillante.wma",.wma,\37257\,"6,645,248",28 Jun 2007 20:04
84,14 Competition 1.wma,.wma,\37257\,"1,025,824",28 Jun 2007 20:04
85,15 Competition 2.wma,.wma,\37257\,"3,101,760",28 Jun 2007 20:04
86,16 Competition 3.wma,.wma,\37257\,"1,339,004",28 Jun 2007 20:04
87,17 Competition 4.wma,.wma,\37257\,"1,392,692",28 Jun 2007 20:04
89,"01 From Holberg's Time, Praeludium.wma",.wma,\3D classics\,"4,282,560",27 Jun 2007 17:12
90,"02 From Holberg's Time, Sarabande.wma",.wma,\3D classics\,"6,188,848",27 Jun 2007 17:12
91,"03 From Holberg's Time, Gavotte.wma",.wma,\3D classics\,"5,535,640",27 Jun 2007 17:12
92,"04 From Holberg's Time, Air.wma",.wma,\3D classics\,"8,479,524",27 Jun 2007 17:12
93,"05 From Holberg's Time, Rigaudon.wma",.wma,\3D classics\,"5,777,238",27 Jun 2007 17:12
94,"06 Finlandia, op.26.wma",.wma,\3D classics\,"13,740,934",27 Jun 2007 17:12
95,07 Vitava (The Moldau).wma,.wma,\3D classics\,"17,928,608",27 Jun 2007 17:12
96,08 Les Preludes.wma,.wma,\3D classics\,"24,156,394",27 Jun 2007 17:12
99,01 The Today Program Part 1.wma,.wma,\40Th Anniversary\,"31,869,190",29 Jun 2007 08:05
100,02 The Today Program Part 2.wma,.wma,\40Th Anniversary\,"27,959,188",29 Jun 2007 08:05
101,03 Bonus Track.wma,.wma,\40Th Anniversary\,"5,893,394",29 Jun 2007 08:05
193,01 Handel- Arias for Durastanti.wma,.wma,\A Decade Of Excellence\,"8,604,602",25 Jun 2007 20:52
194,02 Is Any Afflicted.wma,.wma,\A Decade Of Excellence\,"2,600,884",25 Jun 2007 20:52
195,03 Nicola Matteis- Ayres for the violin.wma,.wma,\A Decade Of Excellence\,"5,473,240",25 Jun 2007 20:52
196,04 An English Ladymass.wma,.wma,\A Decade Of Excellence\,"5,312,088",25 Jun 2007 20:52
197,05 Lord Herbert of Cherbury's Lute Book.wma,.wma,\A Decade Of Excellence\,"2,162,440",25 Jun 2007 20:52
198,"06 Verse Anthems- Hear, O Heav'ns.wma",.wma,\A Decade Of Excellence\,"6,457,558",25 Jun 2007 20:52
199,07 Trio Sonatas- Sonata No.1 in E flat.wma,.wma,\A Decade Of Excellence\,"5,061,552",25 Jun 2007 20:52
200,08 Schubert- Octet in F.wma,.wma,\A Decade Of Excellence\,"5,643,154",25 Jun 2007 20:52
201,"09 Theodora Aria- With Darkness, deep.wma",.wma,\A Decade Of Excellence\,"5,446,422",25 Jun 2007 20:52
202,10 Three Suites- Suite No.1 in G minor.wma,.wma,\A Decade Of Excellence\,"3,450,928",25 Jun 2007 20:52
203,11 Sweeter Than Roses- Celia has a Thousand Charmes.wma,.wma,\A Decade Of Excellence\,"3,137,830",25 Jun 2007 20:52
204,12 Agripinna- Aria- L'alma mia.wma,.wma,\A Decade Of Excellence\,"3,415,188",25 Jun 2007 20:52
205,13 Fresh Keyboard Fruits Seven sonatas.wma,.wma,\A Decade Of Excellence\,"4,649,976",25 Jun 2007 20:52
206,14 Trio- Vivere e non amar.wma,.wma,\A Decade Of Excellence\,"4,641,138",25 Jun 2007 20:52
207,15 Ayo visto lo mapamundo.wma,.wma,\A Decade Of Excellence\,"5,920,678",25 Jun 2007 20:52
208,16 La Spagna.wma,.wma,\A Decade Of Excellence\,"3,710,470",25 Jun 2007 20:52
209,"17 Piano sonatas Sonata no. 2 in d minor, Op. 14- II Allegro marcato.wma",.wma,\A Decade Of Excellence\,"2,878,332",25 Jun 2007 20:52
210,18 RUSSIAN CHURCH MUSIC.wma,.wma,\A Decade Of Excellence\,"4,614,160",25 Jun 2007 20:52
211,"19 Ottone, re di germania Aria- Del minacciar del vento.wma",.wma,\A Decade Of Excellence\,"6,466,520",25 Jun 2007 20:52
212,20 Ottone- Duet- A' teneri affetti.wma,.wma,\A Decade Of Excellence\,"6,547,020",25 Jun 2007 20:52
213,21 WALTON.wma,.wma,\A Decade Of Excellence\,"4,667,852",25 Jun 2007 20:52
215,"a mad world, my masters.m4b",.m4b,"\a mad world, my masters\","289,489,212",16 May 2010 21:25
217,01 Blumenfest Polka.wma,.wma,\a musical offering\,"3,423,648",29 Jun 2007 20:31
218,03 Sonata No. 7 in B-flat major - third mvmt.wma,.wma,\a musical offering\,"5,052,556",29 Jun 2007 20:31
219,04 xarcarsas-ribayaz.wma,.wma,\a musical offering\,"4,148,780",29 Jun 2007 20:31
220,05 Glinka M - Farewell to St Petersburg-'Cradle Song'.wma,.wma,\a musical offering\,"6,251,646",29 Jun 2007 20:31
221,06 Principia.wma,.wma,\a musical offering\,"4,461,940",29 Jun 2007 20:31
222,07 Thais - Meditation.wma,.wma,\a musical offering\,"6,842,140",29 Jun 2007 20:31
223,08 The Padstow Lifeboat.wma,.wma,\a musical offering\,"6,842,146",29 Jun 2007 20:31
224,10 Message - Cantabile.wma,.wma,\a musical offering\,"11,897,716",29 Jun 2007 20:31
225,11 La plus que lente - Valse.wma,.wma,\a musical offering\,"6,081,584",29 Jun 2007 20:31
226,"12 Symphony No. 6, third mvmt.wma",.wma,\a musical offering\,"5,249,380",29 Jun 2007 20:31
227,"13 Sonata in A major, D 664 - 2nd Mvt.wma",.wma,\a musical offering\,"7,146,358",29 Jun 2007 20:31
228,14 The Berserking- A Concerto for Piano and Orchestra.wma,.wma,\a musical offering\,"12,255,754",29 Jun 2007 20:31
229,15 Nunc gaudeant matarna.wma,.wma,\a musical offering\,"3,513,430",29 Jun 2007 20:31
230,16 turandot-puccini.wma,.wma,\a musical offering\,"11,727,860",29 Jun 2007 20:31
232,04 Symphony No. 5 in C minor ('Fate') Op. 67- First Movement.wma,.wma,\A New Statement in Classical Music\,"11,065,786",24 Jun 2007 12:33
233,"05 Rondo on 'Go To the Devil', for piano in C major, H. 3.wma",.wma,\A New Statement in Classical Music\,"7,549,064",24 Jun 2007 12:33
234,"06 Linda di Chamounix, opera- O luce di quest'anima.wma",.wma,\A New Statement in Classical Music\,"5,401,688",24 Jun 2007 12:33
235,"07 Orfeo, opera- Chi mai dell'Erebo.wma",.wma,\A New Statement in Classical Music\,"14,904,438",24 Jun 2007 12:33
236,"08 Euridice, opera- In mille guise...Al canto, al ballo.wma",.wma,\A New Statement in Classical Music\,"6,394,896",24 Jun 2007 12:33
237,"09 Concerto for piano & orchestra, No 6 in B flat major- Movement 1.wma",.wma,\A New Statement in Classical Music\,"11,638,458",24 Jun 2007 12:33
238,"10 Concerto for piano & orchestra, No 6 in B flat major- Movement 2.wma",.wma,\A New Statement in Classical Music\,"5,052,730",24 Jun 2007 12:33
239,"11 Concerto for piano & orchestra, No 6 in B flat major- Movement 3.wma",.wma,\A New Statement in Classical Music\,"6,385,982",24 Jun 2007 12:33
240,"13 Messiah, oratorio, HWV 56- Hallelujah.wma",.wma,\A New Statement in Classical Music\,"5,195,884",24 Jun 2007 12:33
